Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Daniel Naddafy,Pots and Pans,"£7,863",1-Mar-23,March,Q4,London,Tower Hamlets,Theatre,"£30,000 and below",
Michael Olton,Fancy Sailor Exhibition,"£29,590",1-Mar-23,March,Q4,London,Waltham Forest,Combined arts,"£30,000 and below",
Jacqui Grange,Clapham Court (working title),"£14,750",27-Feb-23,February,Q4,South West,Forest of Dean,Combined arts,"£30,000 and below",
Stephanie Arkinstall,Seeking Delphi (previously Corners),"£4,395",27-Feb-23,February,Q4,Midlands,Birmingham,Theatre,"£30,000 and below",
Provisional Act,Loud & Queer Arts Festival 2023,"£28,685",27-Feb-23,February,Q4,Midlands,Worcester,Combined arts,"£30,000 and below",
Platform Thirty1 Limited,Art of Escapism 2023,"£30,000",27-Feb-23,February,Q4,Midlands,Bolsover,Visual arts,"£30,000 and below",
HandMade Theatre,Tell me a story,"£30,000",27-Feb-23,February,Q4,Midlands,Ashfield,Theatre,"£30,000 and below",
Alison Carpenter-Hughes,Leicester Textile Festival,"£26,967",27-Feb-23,February,Q4,Midlands,Leicester,Visual arts,"£30,000 and below",
Hayley Stevens,Therapeutic Poetry Project for Bereaved Mothers,"£12,510",27-Feb-23,February,Q4,Midlands,Birmingham,Literature,"£30,000 and below",
Soundcastle,People's Music Hub Launch,"£49,900",23-Feb-23,February,Q4,South East,Hastings,Music,"Above £30,000",
dot-art Services CIC,'Home' - Eurovision Cultural Project,"£25,000",23-Feb-23,February,Q4,North,Liverpool,Visual arts,"£30,000 and below",
Alice Boyd,"'From the Understory' R&D, performances & environmental sound art workshops","£23,868",23-Feb-23,February,Q4,South West,"Bristol, City of",Music,"£30,000 and below",
JAM,JAM on the Marsh 2023,"£45,000",23-Feb-23,February,Q4,South East,Ashford,Music,"Above £30,000",
Anna Harriott,Stories In The Dust,"£19,329",23-Feb-23,February,Q4,South West,Wiltshire,Theatre,"£30,000 and below",
Curious Directive,curious directive: East-based 2023-24 projects,"£99,000",23-Feb-23,February,Q4,South East,Norwich,Theatre,"Above £30,000",
Croydon Music and Arts,Cultural Growth Programme,"£547,750",23-Feb-23,February,Q4,London,Croydon,Music,"Above £30,000 - Place Partnership project",
Marlie Haco,Good Day,"£14,758",22-Feb-23,February,Q4,London,Camden,Theatre,"£30,000 and below",
Liverpool City Region Combined Authority,Imagine Bamboo is Everywhere,"£99,900",22-Feb-23,February,Q4,North,Liverpool,Combined arts,"Above £30,000",
Golden Toad Theatre,ERROL'S GARDEN: interactive performances & workshops,"£29,901",22-Feb-23,February,Q4,London,Wealden,Theatre,"£30,000 and below",
Changing Relations,Rabbits in Headlights,"£29,999",22-Feb-23,February,Q4,North,County Durham,Visual arts,"£30,000 and below",
Haringey Shed,Haringey Shed and Candoco Dance 2023,"£20,361",22-Feb-23,February,Q4,London,Haringey,Dance,"£30,000 and below",
Tmesis Theatre,Physical Fest 2023,"£48,178",22-Feb-23,February,Q4,North,Liverpool,Theatre,"Above £30,000",
Nina Thomas,Place Setting - Deaf History Of Staffordshire Ceramics Industry,"£35,142",22-Feb-23,February,Q4,London,Harrow,Visual arts,"£30,000 and below",
Hastings City of Sanctuary,Finding Sanctuary,"£13,275",22-Feb-23,February,Q4,South East,Hastings,Combined arts,"£30,000 and below",
Gabriela Flarys,Deluge - theatre show R&D,"£8,805",22-Feb-23,February,Q4,London,Brent,Theatre,"£30,000 and below",
Gledholt Male Voice Choir,Singing for Seniors,"£1,850",22-Feb-23,February,Q4,North,Kirklees,Music,"£30,000 and below",
Ruth Flaherty,"Benched - Development, Engagement & Tour (Resubmit #3)","£39,244",22-Feb-23,February,Q4,London,City of London,Combined arts,"£30,000 and below",
Anna Clifford,The trans gaze: designing multiplicities,"£12,685",22-Feb-23,February,Q4,London,Thanet,Theatre,"£30,000 and below",
Make & Mend Company,Make & Mend Festival 2023,"£29,000",22-Feb-23,February,Q4,North,Stockton-on-Tees,Visual arts,"£30,000 and below",
Badapple Theatre Company,A New Way Forward,"£24,283",22-Feb-23,February,Q4,North,Harrogate,Theatre,"£30,000 and below",
Slugtown,Slugtown CIC | 2023/24,"£37,273",22-Feb-23,February,Q4,North,Newcastle upon Tyne,Visual arts,"Above £30,000",
The Art Works Gallery CIC,ArtWorks Together 2023,"£29,621",22-Feb-23,February,Q4,North,Rotherham,Visual arts,"£30,000 and below",
Martin O'Brien,Deathly Durations: Queer Memento Mori (2023/24),"£45,225",22-Feb-23,February,Q4,London,Croydon,Visual arts,"Above £30,000",
Alice Flynn,1000 Ways - Development + Show Tour,"£16,733",22-Feb-23,February,Q4,South East,Wokingham,Theatre,"£30,000 and below",
Elizabeth Thomas,Blue Sky Music Open Mic Equipment,"£2,129",22-Feb-23,February,Q4,South East,Worthing,Music,"£30,000 and below",Supporting Grassroots Live Music
The WOW Foundation,WOW: Women of the World Festival 2023,"£48,000",22-Feb-23,February,Q4,London,Camden,Combined arts,"Above £30,000",
Staffordshire St,Staffordshire St,"£30,000",22-Feb-23,February,Q4,London,Southwark,Combined arts,"£30,000 and below",
Marlowe Mitchell,Offside,"£27,757",22-Feb-23,February,Q4,North,Kirklees,Visual arts,"£30,000 and below",
MESS ROOM,Mess Room Creates,"£33,300",22-Feb-23,February,Q4,South East,Medway,Visual arts,"£30,000 and below",
Parrabbola,York Shakes 2023,"£10,980",22-Feb-23,February,Q4,North,Darlington,Theatre,"£30,000 and below",
Arty Party,Arty Party - Alive and Kicking,"£58,734",22-Feb-23,February,Q4,Midlands,Shropshire,Theatre,"Above £30,000",
Jackie Nash,Primrose Hospice Mosaic Summer Garden,"£32,417",22-Feb-23,February,Q4,Midlands,Bromsgrove,Visual arts,"Above £30,000",
Jasmin Kent Rodgman,what the dog said to the harvest,"£30,000",22-Feb-23,February,Q4,London,Hackney,Combined arts,"£30,000 and below",
Manchester City Of Literature,Festival of Libraries 2023,"£79,470",22-Feb-23,February,Q4,North,Manchester,Literature,"Above £30,000",
James Varney,We Live Here: Organisational development; Workshops; Public sharing,"£11,781",22-Feb-23,February,Q4,North,Manchester,Literature,"£30,000 and below",
Anne Bean,In Search of the Miraculous: Faith and Art in Rural Norfolk (2023) - RESUBMISSION,"£20,000",22-Feb-23,February,Q4,London,King's Lynn and West Norfolk,Visual arts,"£30,000 and below",
Agudo Dance Company,The Welcoming Party - London Borough of Culture 23/24,"£29,990",22-Feb-23,February,Q4,London,Croydon,Dance,"£30,000 and below",
Swaledale Festival,Swaledale Festival 2023,"£59,376",22-Feb-23,February,Q4,North,Richmondshire,Music,"Above £30,000",
The Herd Theatre Ltd,"Young Audiences as Artists: 3 Projects Exploring the Spectrum of Co-Creation.  Whalesong - Primary School Project, Playspace - Early Years Play Experience, Counting Sheep - a show for 0-3yrs.","£66,632",22-Feb-23,February,Q4,North,"Kingston upon Hull, City of",Theatre,"Above £30,000",
Wonder Arts Limited,Wonder Arts,"£99,000",22-Feb-23,February,Q4,North,St. Helens,Combined arts,"Above £30,000",
Scott Hurran,Paper Cut PARK90,"£30,000",22-Feb-23,February,Q4,South East,Chelmsford,Theatre,"£30,000 and below",
Get Into Theatre,Work In Theatre,"£99,999",22-Feb-23,February,Q4,London,Southwark,Theatre,"Above £30,000",
Jazz Midlands,Progress,"£66,500",22-Feb-23,February,Q4,Midlands,Birmingham,Music,"Above £30,000",
Ruth Singer,(self) Care,"£76,516",22-Feb-23,February,Q4,Midlands,Charnwood,Visual arts,"Above £30,000",
The Upsetters Limited,DISMISSED - 3 Week Run + Youth Engagement - SOHO THEATRE (Second Application),"£49,380",22-Feb-23,February,Q4,London,Redbridge,Theatre,"Above £30,000",
Communities Together,Sangam Festival SAHM 2023,"£49,500",22-Feb-23,February,Q4,North,Kirklees,Combined arts,"Above £30,000",
Vici Wreford-Sinnott,All The Women We Could Have Been - Resubmission,"£49,990",22-Feb-23,February,Q4,North,Redcar and Cleveland,Combined arts,"£30,000 and below",
Documental Productions C.I.C.,Mary and the matrons,"£73,100",21-Feb-23,February,Q4,South West,Exeter,Theatre,"Above £30,000",
Alexandros Plasatis,The Other Side of Hope 3,"£25,100",21-Feb-23,February,Q4,Midlands,Leicester,Literature,"£30,000 and below",
WELLSPRING MUSIC CIC,Crescendo,"£29,888",21-Feb-23,February,Q4,Midlands,Nottingham,Music,"£30,000 and below",
Nathan Ellis and Associates Limited,First Person R&D resubmission,"£20,601",21-Feb-23,February,Q4,Midlands,Rutland,Theatre,"£30,000 and below",
Felix Grainger,The Nag's Head,"£22,666",21-Feb-23,February,Q4,Midlands,Shropshire,Theatre,"£30,000 and below",
Break-Thru Productions,Limitless,"£25,000",15-Feb-23,February,Q4,London,Southwark,Theatre,"£30,000 and below",
Everton Wright,Lewisham ' About Face' Installation,"£28,952",15-Feb-23,February,Q4,South East,Thurrock,Visual arts,"£30,000 and below",
Lee Renforth,Born in Byker,"£29,500",15-Feb-23,February,Q4,North,Newcastle upon Tyne,Combined arts,"£30,000 and below",
Brighton People's Theatre CIO,Born and Bread,"£30,000",15-Feb-23,February,Q4,South East,Brighton and Hove,Theatre,"£30,000 and below",
Barrow Underground Music Society,Out of the city,"£28,860",15-Feb-23,February,Q4,North,Barrow-in-Furness,Music,"£30,000 and below",Supporting Grassroots Live Music
Weave Stories,Our Long Walk,"£12,000",15-Feb-23,February,Q4,London,Wandsworth,Dance,"£30,000 and below",
Stephen Kirby,A Monday Night In Middlesbrough,"£20,920",15-Feb-23,February,Q4,North,Hambleton,Music,"£30,000 and below",Supporting Grassroots Live Music
J Justice,METAMORPHOSES,"£13,366",15-Feb-23,February,Q4,North,Kirklees,Theatre,"£30,000 and below",
Lewis Jobson,Bitesize Redcoat: Co-creating & presenting work with young participants in Sunderland,"£23,890",15-Feb-23,February,Q4,North,Northumberland,Combined arts,"£30,000 and below",
Sammy Gooch,Waking the Artist - LEEDS 2023 Project,"£30,000",15-Feb-23,February,Q4,North,Leeds,Visual arts,"£30,000 and below",
Juicebox Live Development & Training CIC,Promoter Development 2,"£16,500",15-Feb-23,February,Q4,South East,Dacorum,Music,"£30,000 and below",Supporting Grassroots Live Music
Rupert Till,Electric Sufi Promotion,"£10,618",15-Feb-23,February,Q4,North,Sheffield,Music,"£30,000 and below",
Culture Warrington,Pyramid Musical Grass Roots Venue,"£29,950",15-Feb-23,February,Q4,North,Warrington,Music,"£30,000 and below",Supporting Grassroots Live Music
Sea Power Touring Ltd,Krankenhaus Festival,"£29,500",15-Feb-23,February,Q4,North,Copeland,Combined arts,"£30,000 and below",
Ramsgate Festival of Sound CIC,Ramsgate Festival of Sound 2023,"£30,000",15-Feb-23,February,Q4,South East,Thanet,Combined arts,"£30,000 and below",
University of Kent - Arts and Culture,Creative Estuary,"£1,150,000",15-Feb-23,February,Q4,South East,Medway,Not discipline specific,"Above £30,000 - Place Partnership project",
Zoi Dimitriou,Boulevard Humaine,"£26,029",15-Feb-23,February,Q4,London,Bromley,Dance,"£30,000 and below",
Film Oxford,Our Lives in Macro,"£31,275",15-Feb-23,February,Q4,South East,Oxford,Visual arts,"£30,000 and below",
Product Of t/a Take Stock Exchange,"Machloket: Workshops, script development & podcasts","£29,997",15-Feb-23,February,Q4,London,Redbridge,Theatre,"£30,000 and below",
Curious Monkey Ltd,Production and premiere of 'Penguin' by Hamzeh Al Hussien,"£30,491",15-Feb-23,February,Q4,North,Newcastle upon Tyne,Theatre,"£30,000 and below",
Richmond Arts Service,Arts & Ideas Festival,"£20,000",15-Feb-23,February,Q4,London,Richmond upon Thames,Combined arts,"£30,000 and below",
Jack Dean & Company,Hero & Leander 2023 Community Tour,"£34,992",14-Feb-23,February,Q4,South West,Exeter,Theatre,"£30,000 and below",
Charlie Dupre,Compositor E - Reinventing the First Folio,"£25,955",14-Feb-23,February,Q4,London,Richmond upon Thames,Theatre,"£30,000 and below",
Fieldnotes Journal,Fieldnotes Place-based Development in Newham,"£27,974",14-Feb-23,February,Q4,London,Newham,Literature,"£30,000 and below",
Epiphania Ferreira,Food from Home (Research and co-curation project),"£23,947",14-Feb-23,February,Q4,London,Barnet,Museums,"£30,000 and below",
Millie Jones,Levelling R&D,"£16,555",14-Feb-23,February,Q4,South West,Cornwall,Theatre,"£30,000 and below",
Ntelisia Seficha,IMPRINT#LOVE,"£29,048",14-Feb-23,February,Q4,South West,"Bristol, City of",Dance,"£30,000 and below",
Angel Shed Theatre Company,Children's Theatre,"£18,565",14-Feb-23,February,Q4,London,Islington,Theatre,"£30,000 and below",
Bethlem Gallery,Open Spaces (2023),"£24,290",14-Feb-23,February,Q4,London,Bromley,Visual arts,"£30,000 and below",
TheSpace C.I.C.,Leeds 2023: Broadcast and Digital Development Programme,"£99,500",9-Feb-23,February,Q4,Midlands,Birmingham,Combined arts,"Above £30,000",
Farhana Shaikh,Middle Way Mentoring Project Round 2,"£76,384",9-Feb-23,February,Q4,Midlands,Leicester,Literature,"Above £30,000",
Heritage and Culture - NSDC,Out of This World,"£87,416",9-Feb-23,February,Q4,Midlands,Newark and Sherwood,Visual arts,"Above £30,000",
Julieanne Kelly,U=U & HIV Campaign 2023,"£18,159",8-Feb-23,February,Q4,North,Copeland,Combined arts,"£30,000 and below",
Ami Nicole Jones,'The Cathedral' - VAULT Festival 2023,"£19,203",8-Feb-23,February,Q4,London,Waltham Forest,Theatre,"£30,000 and below",
Mark Daniels,Do Mice Like Cheese?,"£12,790",8-Feb-23,February,Q4,London,Lewisham,Theatre,"£30,000 and below",
Elizabeth Major,CURTAINS CURTAINS CURTAINS CURTAINS CURTAINS,"£24,914",8-Feb-23,February,Q4,North,Liverpool,Theatre,"£30,000 and below",
Daisy (Disability Arts in Surrey),HERE WE ARE,"£89,970",8-Feb-23,February,Q4,South East,Reigate and Banstead,Combined arts,"Above £30,000",
Michael Janisch,The Roots to Shoots Tour: platforming the heart of black American jazz in the UK,"£29,550",8-Feb-23,February,Q4,South East,Reigate and Banstead,Music,"£30,000 and below",
Olivia Shann,"Police Vehicle: R&D, Outreach and Creative Resource Pack","£26,398",8-Feb-23,February,Q4,North,Sheffield,Dance,"£30,000 and below",
Toucan Theatre,Touring extension,"£37,000",8-Feb-23,February,Q4,South East,Swale,Theatre,"£30,000 and below",
Paddington Development Trust,Our Shared Heritage - Participatory performance,"£27,204",8-Feb-23,February,Q4,London,Westminster,Theatre,"£30,000 and below",
Wayne Sables Project,The Glasshouse (working title),"£48,700",8-Feb-23,February,Q4,North,Doncaster,Visual arts,"Above £30,000",
Saltaire Inspired,Minus Pollinators,"£16,886",8-Feb-23,February,Q4,North,Bradford,Visual arts,"£30,000 and below",
Little Soldier Productions,Nothing Happens (Twice) Spring Tour 2023,"£24,126",8-Feb-23,February,Q4,London,Lambeth,Theatre,"£30,000 and below",
Justice in Motion,CODE - Youth Engagement Development Programme,"£29,950",8-Feb-23,February,Q4,South East,Oxford,Dance,"£30,000 and below",
Samir Kennedy,CHAOS BALLAD,"£19,485",8-Feb-23,February,Q4,North,Calderdale,Visual arts,"£30,000 and below",
Samuel Ross,"Development of “creepy"" and ""can't stop can't stop"" with Cambridge Junction","£21,519",8-Feb-23,February,Q4,South East,South Cambridgeshire,Theatre,"£30,000 and below",
Ryoko Akama,"Research Cultural Fluidity & Identity as Korean Immigrant / Develop new skills on photography & sound  / Deliver 4 Workshops & Solo Exhibition at TAH, Wakefield","£13,165",8-Feb-23,February,Q4,North,Kirklees,Combined arts,"£30,000 and below",
Bhangra Dance London Ltd,Bhangra Dance London Lok Naach Academy & Outreach,"£24,046",8-Feb-23,February,Q4,London,Ealing,Dance,"£30,000 and below",
Kuumba Nia Arts,SOLD 2023 Tour,"£8,788",8-Feb-23,February,Q4,South East,Oxford,Theatre,"£30,000 and below",
Yewande 103,R&D for Yewande 103’s new screen dance ‘A Moment That Changed Me’ supported by public dissemination & producer development,"£43,088",8-Feb-23,February,Q4,London,Lewisham,Dance,"£30,000 and below",
MÓTUS,Impact R&D Project,"£83,307",8-Feb-23,February,Q4,South East,Milton Keynes,Dance,"Above £30,000",
Holmfirth Festival of Folk,Holmfirth Festival of Folk 2023,"£3,000",8-Feb-23,February,Q4,North,Kirklees,Music,"£30,000 and below",
curtly Thomas,DEPTH KINK,"£21,867",8-Feb-23,February,Q4,London,Wandsworth,Visual arts,"£30,000 and below",
AURORA METRO ARTS AND MEDIA,50 LGBTQI+ who changed the world,"£8,978",8-Feb-23,February,Q4,London,Richmond upon Thames,Visual arts,"£30,000 and below",
Northern Chamber Orchestra,NCO Breaking New Ground,"£77,894",8-Feb-23,February,Q4,North,Manchester,Music,"Above £30,000",
Glass House Dance,Embedding climate action and accessibility for a long term future,"£30,000",8-Feb-23,February,Q4,South East,Norwich,Dance,"£30,000 and below",
Community Beats,Brick in the Wall Records,"£18,765",8-Feb-23,February,Q4,North,Blackburn with Darwen,Music,"£30,000 and below",
Khameleon Productions,Deen and Dunya - Muslim Poetry Night,"£18,568",8-Feb-23,February,Q4,London,Westminster,Literature,"£30,000 and below",
flat 70 CIC,flat70 pilot season,"£29,810",8-Feb-23,February,Q4,London,Croydon,Visual arts,"£30,000 and below",
Aliyah Holder,Black Curatorial: Curators Development & Public Programme,"£82,531",7-Feb-23,February,Q4,London,Barnet,Visual arts,"Above £30,000",
Brolly Productions CIC,The Stopping Place,"£48,200",7-Feb-23,February,Q4,London,Barnet,Music,"Above £30,000",
Leeds City Council - Culture & Sport,Hibiscus Rising - new public artwork to achieve positive social impact,"£105,000",7-Feb-23,February,Q4,North,Leeds,Visual arts,"Above £30,000",
Unanima Theatre,Place Based Participation,"£15,600",7-Feb-23,February,Q4,Midlands,Mansfield,Theatre,"£30,000 and below",
Open Sky Theatre,"MicroPlays: Identity Audience, Creative and Digital Development","£19,492",7-Feb-23,February,Q4,Midlands,"Herefordshire, County of",Theatre,"£30,000 and below",
Amy Crighton,Choose Your Fighter,"£28,911",7-Feb-23,February,Q4,Midlands,Warwick,Theatre,"£30,000 and below",
The Redeemed Productions,TRP organisational development,"£18,529",7-Feb-23,February,Q4,Midlands,Sandwell,Combined arts,"£30,000 and below",
Escape and Educate,Escape and Educate: Melton Carnegie Museum (EE/MCM),"£29,567",7-Feb-23,February,Q4,Midlands,Leicester,Combined arts,"£30,000 and below",
3 OH EN Limited,Blind At The Age of Four 2023,"£54,340",7-Feb-23,February,Q4,London,Westminster,Combined arts,"Above £30,000",
New Future Collective,The Legends of Them Resubmission,"£64,314",7-Feb-23,February,Q4,London,Hackney,Theatre,"Above £30,000",
Marcus Dove,Abused & Relieved. All Feelings Conceived (2),"£22,356",7-Feb-23,February,Q4,Midlands,Leicester,Visual arts,"£30,000 and below",
Will Jackson,Quick Duck Theatre Spring / Summer 2023 Season,"£15,527",7-Feb-23,February,Q4,Midlands,Birmingham,Theatre,"£30,000 and below",
Croydon Libraries,Croydon's London Borough of Culture Programme 2023-24,"£150,000",7-Feb-23,February,Q4,London,Croydon,Combined arts,"Above £30,000 - Over £100k application",
Jasmine Gardosi,National Tour of 'Dancing To Music You Hate',"£29,806",7-Feb-23,February,Q4,Midlands,Birmingham,Music,"£30,000 and below",
TEAM LOVE LTD,Glastonbury Mycilion - Regenerative Stage,"£79,600",6-Feb-23,February,Q4,South West,"Bristol, City of",Visual arts,"Above £30,000",
Pigfoot Theatre,HOT IN HERE (An energy-generating dance party) Development & Engagement Programme for Gate Theatre run,"£19,048",6-Feb-23,February,Q4,South West,Bath and North East Somerset,Theatre,"£30,000 and below",
Diabel Cissokho,The Kafou Music Project,"£29,839",6-Feb-23,February,Q4,South West,Cornwall,Music,"£30,000 and below",
Ruth Mariner,My True Avatar,"£12,418",6-Feb-23,February,Q4,South West,"Bournemouth, Christchurch and Poole",Theatre,"£30,000 and below",
Sidmouth Coastal Community Hub CIC,Sidmouth Makes Art (SMArt) Project,"£99,950",6-Feb-23,February,Q4,South West,East Devon,Visual arts,"Above £30,000",
Arts Taunton,TYCA Festival 2023,"£30,000",6-Feb-23,February,Q4,South West,Somerset West and Taunton,Combined arts,"£30,000 and below",
Wigan Council,Creating Place,"£30,000",2-Feb-23,February,Q4,North,Wigan,Visual arts,"£30,000 and below",
Poetry Translation Centre Ltd,The PTC's 20th anniversary programme,"£105,995",2-Feb-23,February,Q4,London,Lewisham,Literature,"Above £30,000 - Nationally Significant project",
St Helens Council,Creative St Helens,"£200,000",2-Feb-23,February,Q4,North,St. Helens,Not discipline specific,"Above £30,000 - Place Partnership project",
Neon Performing Arts Ltd,NeonELEVATE,"£18,000",2-Feb-23,February,Q4,London,Lambeth,Combined arts,"£30,000 and below",
Peter Keeley,'That Love Thing' Project,"£12,550",2-Feb-23,February,Q4,North,Manchester,Literature,"£30,000 and below",
Bradford Teaching Hospitals NHS Foundation Trust,Age of Wonder Digital Creatives,"£294,327",2-Feb-23,February,Q4,North,Bradford,Not discipline specific,"Above £30,000 - Nationally Significant project",
Hardeep Singh Sahota,Prince Project,"£30,000",2-Feb-23,February,Q4,North,Kirklees,Combined arts,"£30,000 and below",
Spectrum Association,Spectrum 2023 Sharing Carnival Vibes,"£14,750",2-Feb-23,February,Q4,North,Preston,Combined arts,"£30,000 and below",
Kirklees Council,Kirklees Year of Music 23,"£800,000",2-Feb-23,February,Q4,North,Kirklees,Music,"Above £30,000 - Place Partnership project",
Rachel Mars,FORGE - Barbican,"£25,950",2-Feb-23,February,Q4,London,Islington,Visual arts,"£30,000 and below",
Kingswood Arts CIC,Our House,"£20,932",2-Feb-23,February,Q4,London,Southwark,Combined arts,"£30,000 and below",
Long Division CIC,Wakefield Grassroots 2023,"£7,900",2-Feb-23,February,Q4,North,Wakefield,Music,"£30,000 and below",Supporting Grassroots Live Music
Charlotte Cragg,Pauline: project development & delivery,"£16,431",2-Feb-23,February,Q4,London,Camden,Theatre,"£30,000 and below",
Aisling Doherty,Leeds Jazz Festival 2023,"£14,800",2-Feb-23,February,Q4,North,Leeds,Music,"£30,000 and below",
Mohamed Ihouirne,Ganawa London,"£14,900",2-Feb-23,February,Q4,London,Greenwich,Music,"£30,000 and below",
Jonah York,Father Unknown,"£15,000",2-Feb-23,February,Q4,North,North Tyneside,Theatre,"£30,000 and below",
Lauren Forster,Esoteric - 4D Experience,"£13,085",2-Feb-23,February,Q4,North,Barnsley,Music,"£30,000 and below",
CN Lester,Transpose 2023,"£33,620",2-Feb-23,February,Q4,London,Richmond upon Thames,Music,"£30,000 and below",
Tanyaradzwa Moyo,Peace Amid The Storm (PATS),"£15,300",2-Feb-23,February,Q4,London,Camden,Combined arts,"£30,000 and below",
Thomas Guthrie,Schubert 200/Lewisham Creative Chorus launch,"£9,230",2-Feb-23,February,Q4,London,Lewisham,Music,"£30,000 and below",
Sophie Nuezel,Stories of a Watersprite Remake,"£33,755",2-Feb-23,February,Q4,London,Hackney,Dance,"£30,000 and below",
Sugar Punch,Start Without Me,"£3,822",2-Feb-23,February,Q4,North,Chorley,Theatre,"£30,000 and below",
Rory Howes,Con-Version VAULT Run (Revised Resubmission),"£27,652",2-Feb-23,February,Q4,London,Waltham Forest,Theatre,"£30,000 and below",
Exmouth Festival,Exmouth Festival 2023,"£25,000",1-Feb-23,February,Q4,South West,East Devon,Combined arts,"£30,000 and below",
London Mozart Players,LMP Fairfield Halls Audience Development Programme,"£29,500",1-Feb-23,February,Q4,London,Croydon,Music,"£30,000 and below",
SouthWestDanceHub,Earth Connections,"£5,210",1-Feb-23,February,Q4,South West,Mid Devon,Combined arts,"£30,000 and below",
Elinor Rowlands,Biodivergent Sites & Sounds,"£30,317",1-Feb-23,February,Q4,London,Brent,Combined arts,"£30,000 and below",
Joanna Holland,Out of the Blue - Landscapes of Chronic Illness,"£31,810",1-Feb-23,February,Q4,South East,Cambridge,Visual arts,"£30,000 and below",
Flywheel Productions,Words and Music,"£24,178",1-Feb-23,February,Q4,London,Southwark,Theatre,"£30,000 and below",
Varvara Svistunenko,Script R&D: Workshopping Wivenhoe,"£23,281",1-Feb-23,February,Q4,South East,Colchester,Theatre,"£30,000 and below",
Simon Floyd,How's Your Father? Applied Theatre,"£25,300",1-Feb-23,February,Q4,South East,Norwich,Theatre,"£30,000 and below",
Folio Theatre,Harbour Project Workshop Programme,"£30,000",1-Feb-23,February,Q4,South West,Wiltshire,Theatre,"£30,000 and below",
Kidology Arts Community Interest Company,Unfettered,"£26,100",1-Feb-23,February,Q4,North,Sheffield,Combined arts,"£30,000 and below",
Xiom Productions,New Horizons Season,"£29,550",1-Feb-23,February,Q4,London,Islington,Music,"£30,000 and below",Supporting Grassroots Live Music
Mud Gang Pottery CIC,Making Together at Mud Gang,"£15,000",1-Feb-23,February,Q4,London,Lambeth,Visual arts,"£30,000 and below",
Emma McGordon,Radio Play R and D,"£5,000",1-Feb-23,February,Q4,North,Copeland,Theatre,"£30,000 and below",
Joe Eyre,TIGER - Omnibus Theatre,"£28,280",1-Feb-23,February,Q4,South East,Buckinghamshire,Theatre,"£30,000 and below",
Robyn Steward,Robyn's Rocket 2022,"£15,000",1-Feb-23,February,Q4,London,Wandsworth,Music,"£30,000 and below",Supporting Grassroots Live Music
University of Kent - Arts and Culture,Cultural Innovation Forum 2023,"£28,212",1-Feb-23,February,Q4,South East,Medway,Combined arts,"£30,000 and below",
Nina Whiteman,BELOW GROUND,"£16,110",1-Feb-23,February,Q4,North,Manchester,Combined arts,"£30,000 and below",
Ultimake CIC,Rem!x: Accessible Resources,"£6,600",1-Feb-23,February,Q4,South West,Isle of Wight,Music,"£30,000 and below",
Linton Children's Book Festival,Linton Children's Book Festival 2023,"£8,500",1-Feb-23,February,Q4,South East,South Cambridgeshire,Literature,"£30,000 and below",
Robin Paley Yorke,Take On This Research & Development,"£29,819",1-Feb-23,February,Q4,North,Gateshead,Theatre,"£30,000 and below",
Preston Jazz Fest,Preston Jazz Festival 2023,"£29,939",1-Feb-23,February,Q4,North,Preston,Music,"£30,000 and below",
Off Licence Magazine,The Offie Mag DIY Series (Independent Artists at Independent Venues),"£14,006",1-Feb-23,February,Q4,South East,Brighton and Hove,Music,"£30,000 and below",Supporting Grassroots Live Music
Maimuna Faal,Tuba Dance Theatre,"£29,488",1-Feb-23,February,Q4,London,Hackney,Dance,"£30,000 and below",
Ford Collier,Mishra UK Tour with Deepa Nair Rasiya,"£16,099",1-Feb-23,February,Q4,North,Sheffield,Music,"£30,000 and below",
Bar Groisman,Coiled Up Creation - Resubmission,"£29,907",1-Feb-23,February,Q4,South East,Cambridge,Dance,"£30,000 and below",
Lindsay Endean,Saltash Songs & Shanties Festival,"£14,000",1-Feb-23,February,Q4,South West,Cornwall,Music,"£30,000 and below",Supporting Grassroots Live Music
Georgia Gendall,Allotment Club,"£22,124",1-Feb-23,February,Q4,South West,Cornwall,Combined arts,"£30,000 and below",
Newcastle Centre for the Literary Arts,Newcastle Poetry Festival 2023: Community,"£26,000",1-Feb-23,February,Q4,North,Newcastle upon Tyne,Literature,"£30,000 and below",
Chris Cundy,"Archaeology of the Ear, Season Three: A Listening Map","£20,590",1-Feb-23,February,Q4,South West,Cheltenham,Music,"£30,000 and below",
Patrick Thomas,A Day in Dog Years,"£15,046",1-Feb-23,February,Q4,South West,Wiltshire,Combined arts,"£30,000 and below",
Take the Space,Goodbye Jolene Hello Dolly,"£26,424",1-Feb-23,February,Q4,South East,Brighton and Hove,Theatre,"£30,000 and below",
Signdance Collective,Places Faces & Broken Hearts R&D,"£30,000",1-Feb-23,February,Q4,South East,Buckinghamshire,Theatre,"£30,000 and below",
Edward Cubitt,Thorton Heath Afrobeat Orchestra,"£15,000",1-Feb-23,February,Q4,London,Croydon,Music,"£30,000 and below",
Spiritual Records,Spiritual Ascending v2,"£29,440",1-Feb-23,February,Q4,London,Camden,Music,"£30,000 and below",
